time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-19T21:32:17.870Z,32.8241,47.5958,10,5.3,mb,,40,9.173,1.05,us,usb000s4e8,2014-08-20T05:34:56.334Z,"24km SE of Abdanan, Iran",earthquake
2014-08-19T21:16:37.420Z,34.0966667,-117.315,16.32,1.08,ml,26,59,0.08337,0.36,ci,ci37259784,2014-08-19T21:21:41.090Z,"2km WSW of San Bernardino, California",earthquake
2014-08-19T21:15:14.000Z,59.2792,-153.2435,98.1,2.2,ml,,,,0.57,ak,ak11360896,2014-08-19T21:29:27.615Z,"97km SW of Anchor Point, Alaska",earthquake
2014-08-19T21:13:53.000Z,60.8064,-148.7812,46.4,1,ml,,,,0.5,ak,ak11360897,2014-08-19T22:08:51.117Z,"6km NW of Whittier, Alaska",earthquake
2014-08-19T21:12:09.600Z,49.4018,-120.5138,0,2.2,Md,,205.2,0.59288809,0.23,uw,uw60848697,2014-08-20T01:40:11.168Z,"6km S of Princeton, Canada",quarry
2014-08-19T21:02:02.650Z,34.0168333,-117.5,4.43,1.49,ml,9,103,0.2041,0.34,ci,ci37259776,2014-08-19T21:06:59.830Z,"1km WNW of Glen Avon, California",earthquake
2014-08-19T20:36:49.000Z,59.9311,-141.5166,5.7,1.3,ml,,,,0.42,ak,ak11360852,2014-08-19T20:48:39.064Z,"53km ESE of Cape Yakataga, Alaska",earthquake
2014-08-19T20:31:15.334Z,41.9031,-119.6447,0,1.36,ml,4,215.88,0.49,0.0205,nn,nn00456584,2014-08-19T22:03:53.271Z,"66km ESE of Lakeview, Oregon",earthquake
2014-08-19T20:27:24.857Z,41.8717,-119.6294,1.2234,1.64,ml,4,221.45,0.503,0.0943,nn,nn00456577,2014-08-20T01:43:26.496Z,"72km ENE of Alturas, California",earthquake
2014-08-19T20:18:06.825Z,41.8918,-119.6303,4.0568,1.5,ml,4,218.14,0.501,0.1509,nn,nn00456575,2014-08-19T21:23:40.063Z,"67km ESE of Lakeview, Oregon",earthquake
2014-08-19T20:17:05.000Z,60.3016,-141.6587,1,1.3,ml,,,,0.87,ak,ak11360792,2014-08-19T21:08:46.456Z,"50km ENE of Cape Yakataga, Alaska",earthquake
2014-08-19T20:15:56.000Z,61.5056,-146.9556,16.9,1.5,ml,,,,0.97,ak,ak11360791,2014-08-19T20:28:55.299Z,"52km NW of Valdez, Alaska",earthquake
2014-08-19T20:09:29.550Z,34.0233333,-116.7298333,18.54,0.93,ml,17,108,0.06967,0.26,ci,ci37259760,2014-08-19T20:14:12.520Z,"12km NNE of Cabazon, California",earthquake
